iter	MultiClass
0	2.340909257
1	2.142511249
2	1.995888486
3	1.884691431
4	1.801218519
5	1.724706197
6	1.668062585
7	1.61415138
8	1.569587538
9	1.524261094
10	1.487226607
11	1.456418004
12	1.430005999
13	1.40409106
14	1.380230951
15	1.358608827
16	1.338887223
17	1.316106684
18	1.299497463
19	1.284806577
20	1.269256661
21	1.254410557
22	1.241966396
23	1.229151941
24	1.219804288
25	1.206700603
26	1.196173972
27	1.186784648
28	1.177397334
29	1.170007177
30	1.162320133
31	1.153729973
32	1.146595047
33	1.134898691
34	1.12878305
35	1.119989214
36	1.114751827
37	1.106240664
38	1.100240991
39	1.094233216
40	1.087413119
41	1.08102297
42	1.076452262
43	1.069888354
44	1.066029813
45	1.062948485
46	1.060458873
47	1.056496185
48	1.053005799
49	1.04986245
50	1.045978983
51	1.043211342
52	1.03945397
53	1.035416428
54	1.031709932
55	1.028270829
56	1.024977766
57	1.022169788
58	1.018834894
59	1.015059584
60	1.012664361
61	1.009689343
62	1.005978301
63	1.002569263
64	0.9998228486
65	0.9975472214
66	0.9946823297
67	0.9928733453
68	0.9900203684
69	0.987717019
70	0.984682283
71	0.9825031554
72	0.980874635
73	0.9788728614
74	0.9772414391
75	0.9736336889
76	0.9699940101
77	0.9689300256
78	0.9659755618
79	0.963327325
80	0.9618995491
81	0.9599630681
82	0.9576442041
83	0.9552638673
84	0.9533425989
85	0.9516873881
86	0.949861966
87	0.9484696907
88	0.9473113146
89	0.9452782626
90	0.9436786301
91	0.9423701471
92	0.9398143813
93	0.9382384635
94	0.9369204496
95	0.935703019
96	0.9347404742
97	0.9334018591
98	0.9321238282
99	0.9300528534
100	0.9273413189
101	0.9254428836
102	0.9240285221
103	0.9228788529
104	0.9213279613
105	0.9194806902
106	0.9185890139
107	0.9174118375
108	0.9161119959
109	0.9144563169
110	0.9125985419
111	0.9106010042
112	0.9089252784
113	0.9071531427
114	0.9041009614
115	0.9020071081
116	0.9001682445
117	0.8987991101
118	0.8970179549
119	0.8946395044
120	0.8931697658
121	0.8916363762
122	0.8896448703
123	0.8878264256
124	0.8861964121
125	0.8850775459
126	0.8832994803
127	0.88201577
128	0.8804257014
129	0.8791706886
130	0.8771024273
131	0.8755543624
132	0.8741620823
133	0.8726476862
134	0.871669936
135	0.8702537423
136	0.8689215624
137	0.867092717
138	0.8659033288
139	0.8645114329
140	0.8626001388
141	0.8615581998
142	0.8604563174
143	0.8596748473
144	0.8584531534
145	0.8568612749
146	0.8555193386
147	0.8545817703
148	0.8533339772
149	0.852545208
150	0.8512215901
151	0.8497583002
152	0.8485938514
153	0.8477059053
154	0.8467536878
155	0.8459013435
156	0.8447107783
157	0.8435394901
158	0.8427344472
159	0.8415265627
160	0.8409726574
161	0.8399115783
162	0.8393925963
163	0.8382103647
164	0.8371599894
165	0.8358673404
166	0.8349868269
167	0.8339958093
168	0.8334384384
169	0.8322758321
170	0.8313896075
171	0.8306798035
172	0.8297564919
173	0.8287176235
174	0.8280278906
175	0.8269091216
176	0.8250102636
177	0.8240899051
178	0.8232722867
179	0.8226433035
180	0.8219576378
181	0.8212284513
182	0.8198817022
183	0.8187810264
184	0.8184520332
185	0.8171502019
186	0.816059078
187	0.8152159652
188	0.8148145594
189	0.8139803851
