iter	MultiClass
190	0.8134621749
191	0.812383006
192	0.8120503
193	0.8114040393
194	0.8106969853
195	0.8101303272
196	0.8098122447
197	0.809043069
198	0.8077142746
199	0.8073612041
200	0.8073469139
201	0.8072460005
202	0.8066765102
203	0.8058921481
204	0.8049126403
205	0.8044203432
206	0.8042024452
207	0.8033875601
208	0.8029391264
209	0.8025303034
210	0.8020382094
211	0.8017772959
212	0.8014920496
213	0.8013602186
214	0.8011748553
215	0.8008947184
216	0.8008517509
217	0.8006841565
218	0.8006105931
219	0.8004411711
220	0.8001134841
221	0.7998996157
222	0.7992128602
223	0.7991632636
224	0.7989252072
225	0.798325608
226	0.798182712
227	0.7978810781
228	0.7975293722
229	0.7973559982
230	0.7973388658
231	0.7970505465
232	0.7969427416
233	0.7961121966
234	0.7956522701
235	0.7943519882
236	0.7941160626
237	0.7935944995
238	0.7931814717
239	0.7931341159
240	0.7930490298
241	0.7921241467
242	0.7911630096
243	0.790941217
244	0.790887131
245	0.7896627422
246	0.7891999789
247	0.7889908965
248	0.7886168319
249	0.7882475379
250	0.7879075234
251	0.7877464974
252	0.7876376387
253	0.7873589155
254	0.7870002215
255	0.7866353874
256	0.7865446191
257	0.7861727628
258	0.7855428171
259	0.7852862134
260	0.785227064
261	0.7851439547
262	0.78485583
263	0.7846061906
264	0.7845656722
265	0.7845452891
266	0.7845130511
267	0.7838757981
268	0.7836423569
269	0.7831693927
270	0.7823980367
271	0.7823858678
272	0.782221962
273	0.7818666275
274	0.7817756628
275	0.7815520896
276	0.7814721099
277	0.7813342557
278	0.7810515362
279	0.780672955
280	0.7800613433
281	0.7794322601
282	0.7792385765
283	0.7786983594
284	0.7786608631
285	0.7786331249
286	0.7785857778
287	0.778573885
288	0.7779232589
289	0.7777161597
290	0.7776835674
291	0.7776760059
292	0.7773922908
293	0.7773820505
294	0.7773562426
295	0.7769407056
296	0.7769281506
297	0.7768684803
298	0.7767096297
299	0.7767027093
300	0.7763018477
301	0.7757112903
302	0.7748906975
303	0.7748546532
304	0.7748471105
305	0.7746636581
306	0.7746531954
307	0.7745021794
308	0.7744918309
309	0.7743162154
310	0.7740342511
311	0.7740285577
312	0.7740012506
313	0.7738426921
314	0.7736022072
315	0.7733365595
316	0.7730885781
317	0.7729609271
318	0.7729415495
319	0.7729229089
320	0.7722696193
321	0.7718078412
322	0.7717780853
323	0.7716065863
324	0.7712649408
325	0.7712556917
326	0.7712266244
327	0.7711923781
328	0.7711869215
329	0.7710542556
330	0.7710423818
331	0.7710132743
332	0.7709615709
333	0.7708942217
334	0.7707656461
335	0.7706540665
336	0.7706464994
337	0.7702772364
338	0.7700314603
339	0.7700121262
340	0.7699991659
341	0.7691356749
342	0.7691072268
343	0.7689442906
344	0.7685405922
345	0.7685259617
346	0.7683223666
347	0.768291486
348	0.7682820988
349	0.7682620743
350	0.7682525733
351	0.7682449371
352	0.7681144591
353	0.7680940373
354	0.7679351434
355	0.767557741
356	0.7674129154
357	0.7674029739
358	0.7673888553
359	0.7673827388
360	0.7672133891
361	0.7671478476
362	0.7671257201
363	0.7666962123
364	0.7666421861
365	0.7666282677
366	0.76659837
367	0.7665909497
368	0.7664274101
369	0.7664188563
370	0.7664048511
371	0.7662247364
372	0.7662193517
373	0.7661021543
374	0.7660970628
375	0.7660903671
376	0.7659550403
377	0.7659458875
378	0.7659151865
379	0.765890627
380	0.765598178
381	0.7655642926
382	0.7650593981
383	0.7650507798
384	0.7648497574
385	0.764837957
386	0.7648331139
387	0.7647610901
388	0.764633454
389	0.7645982715
390	0.7640485906
391	0.7635369292
392	0.7633871824
393	0.7633486536
394	0.763293329
395	0.7632793144
396	0.7630958289
397	0.7626282509
398	0.7626197456
399	0.76244647
400	0.7624363671
401	0.7623826604
402	0.7623711774
403	0.7622412566
404	0.7622284403
405	0.7622018938
406	0.7620816074
407	0.7620559323
408	0.7618841001
409	0.7618677868
410	0.761862954
411	0.7618495852
412	0.7618401225
413	0.7618335515
414	0.7617663254
415	0.7617506075
416	0.7616068332
417	0.7615835024
418	0.7615582362
419	0.7615473782
420	0.7615382772
421	0.7615328232
422	0.7615023901
423	0.761178738
424	0.7611510563
425	0.7611329251
426	0.7611163071
427	0.7608223379
428	0.7605594121
429	0.7605495925
430	0.7605331501
431	0.7605140804
432	0.7604377328
433	0.7603220845
434	0.7602764673
435	0.760245399
436	0.760225997
437	0.7600724188
438	0.7600661244
439	0.7600554313
440	0.7595551333
441	0.7595479352
442	0.7595038594
443	0.7594659223
444	0.7590481842
445	0.7588833392
446	0.7588764195
447	0.7588542753
448	0.7586919337
449	0.7585771288
450	0.7585402096
451	0.7585317608
452	0.7585190812
453	0.7584983065
454	0.7584879554
455	0.7584790127
456	0.7582731465
457	0.758254152
458	0.7582380269
459	0.7578815328
460	0.7578664425
461	0.7578520377
462	0.757553135
463	0.7575378994
464	0.757527542
465	0.7575126901
466	0.7574939131
467	0.7574835249
468	0.7573854473
469	0.7573789553
470	0.7573521796
471	0.7572232064
472	0.7572104958
473	0.7572053956
474	0.7571967382
475	0.7567417127
476	0.7567372196
477	0.7567167887
478	0.7563660585
479	0.7563562711
480	0.7563489001
481	0.7559107719
482	0.7558851637
483	0.7558783188
484	0.7557799371
485	0.7557707112
486	0.7557608363
487	0.7555721302
488	0.7555470045
489	0.7554091951
490	0.7553906889
491	0.7553721577
492	0.7553666148
493	0.7553345025
494	0.7551916405
495	0.7551669943
496	0.7550394094
497	0.7550273413
498	0.7550222899
499	0.7550054056
500	0.7549920088
501	0.754978476
502	0.7549684367
503	0.7548150071
504	0.7545635365
505	0.7545225327
506	0.7545080293
507	0.754466619
508	0.7544567349
509	0.7543122536
510	0.7542190544
511	0.7542083401
512	0.7541758132
513	0.7541702
514	0.754012942
515	0.754006481
516	0.7539909848
517	0.7539791117
518	0.7539714417
519	0.7539614035
520	0.7539435237
521	0.7538100476
522	0.7538005737
523	0.753791964
524	0.7537845825
525	0.7537748171
526	0.75375036
527	0.7535878044
528	0.753409716
529	0.7533954515
530	0.7533858821
531	0.7533735872
532	0.7533630178
533	0.7532318425
534	0.753223636
535	0.7532130507
536	0.7532004583
537	0.7529016634
538	0.7527229935
539	0.7524226162
540	0.7524165282
541	0.75216726
542	0.7521589417
543	0.7521233397
544	0.7520986724
545	0.7519569091
546	0.751943429
547	0.7519328665
548	0.7516429738
549	0.7516287183
550	0.7512658372
551	0.7512552955
552	0.7511164601
553	0.7509494513
554	0.7509428938
555	0.7509294275
556	0.7509148144
557	0.7508667061
558	0.7508581476
559	0.750543244
560	0.7504861285
561	0.7501064166
562	0.7500985874
563	0.7500918747
564	0.75007375
565	0.7500664008
566	0.7500309481
567	0.750019357
568	0.7500141
569	0.7500071744
570	0.7500007923
571	0.7499362674
572	0.7497078922
573	0.74969862
574	0.7496849082
575	0.7496759458
576	0.749669019
577	0.7496484774
578	0.7496366091
579	0.7496065113
580	0.7494964058
581	0.7494730928
582	0.7494625514
583	0.749452738
584	0.7492474811
585	0.7492394343
586	0.7492272604
587	0.749087689
588	0.749054527
589	0.7490417131
590	0.7490327349
591	0.7490232746
592	0.7489985053
593	0.7489838633
594	0.7485788124
595	0.7484435353
596	0.748287708
597	0.7482785772
598	0.7482645302
599	0.7482084531
600	0.7481856507
601	0.748172968
602	0.7481649815
603	0.7480210374
604	0.7480106094
605	0.7480054171
606	0.748000141
607	0.7478380813
608	0.7478250566
609	0.7478117439
610	0.7478051314
611	0.7476536457
612	0.7476473121
613	0.7476338605
614	0.7475002209
615	0.747492829
616	0.7474750354
617	0.747252248
618	0.7472399332
619	0.7472309257
620	0.7472212341
621	0.7472062873
622	0.7471968992
623	0.7471811146
624	0.7471651613
625	0.7471461535
626	0.7471398287
627	0.7471193299
628	0.7471042091
629	0.7470951255
630	0.7470887508
631	0.7469941041
632	0.7469855714
633	0.746954649
634	0.7469498596
635	0.7469436033
636	0.7469357464
637	0.7469058914
638	0.7468737408
639	0.746864235
640	0.7466720205
641	0.746664167
642	0.7466490937
643	0.7466354293
644	0.7466282958
645	0.746619483
646	0.7466129576
647	0.7466053839
648	0.7465956486
649	0.7464970818
650	0.7464891592
651	0.7463265848
652	0.7463139417
653	0.7458153788
654	0.7458001053
655	0.745791794
656	0.7457781014
657	0.745764736
658	0.7456438174
659	0.7456360007
660	0.7456159532
661	0.7456086592
662	0.7456013758
663	0.7455804396
664	0.7455530561
665	0.7454194022
666	0.7454089706
667	0.7453909856
668	0.7453829395
669	0.7453748219
670	0.7452557687
671	0.7452491802
672	0.7450930541
673	0.7450794745
674	0.7450695038
675	0.7449486146
676	0.7449400684
677	0.744930472
678	0.7449200317
679	0.7449132259
680	0.7448967788
681	0.7448918517
682	0.7448872298
683	0.7448809236
684	0.7448712997
685	0.7447649418
686	0.74474877
687	0.7447248306
688	0.7447141005
689	0.744708355
690	0.7447019856
691	0.7446936761
692	0.7446847427
693	0.7445346867
694	0.7441973848
695	0.7441905631
696	0.7441849746
697	0.7441762453
698	0.7441620606
699	0.7441539647
700	0.744144541
701	0.7440290868
702	0.7439886066
703	0.7439760316
704	0.7439674927
705	0.7439580613
706	0.7439500361
707	0.7439380135
708	0.7439286872
709	0.7439204891
710	0.7439063187
711	0.7438087936
712	0.7435720933
713	0.7435669581
714	0.7435566797
715	0.7435513428
716	0.7435213616
717	0.74349536
718	0.7433990781
719	0.7431044412
720	0.7430963365
721	0.743084053
722	0.7430692744
723	0.743059978
724	0.7430534937
725	0.7430317552
726	0.7430210547
727	0.7430098653
728	0.7429976451
729	0.7429875648
730	0.7429758905
731	0.7425779997
732	0.7425655016
733	0.7425563682
734	0.7425457554
735	0.7425374938
736	0.7425276029
737	0.7424828147
738	0.7424658147
739	0.7424591697
740	0.742450422
741	0.7424399835
742	0.7423413478
743	0.7423332744
744	0.7423170683
745	0.7421772251
746	0.7421674373
747	0.7421619891
748	0.7421475199
